# tos_view packet template -- GENERATED by name_fields.py, do not edit.
# Names are guesses unless the origin column says otherwise; see
# docs/14-field-names.md for what each origin is worth.
#
# P<TAB>opcode<TAB>name<TAB>size<TAB>coverage
# F<TAB>offset<TAB>type<TAB>bytes<TAB>name<TAB>fmt<TAB>origin<TAB>note
P	8	BC_COMMANDER_CREATE_SLOTID	11	exact
F	35	f32[2]	8	dir		docs/02	
P	3172	CZ_MOVE_STOP	71	none
F	23	f32[3]	12	pos		docs/02	one pad byte more than CZ_KEYBOARD_MOVE
F	35	f32[2]	8	dir		docs/02	
P	3184	CZ_ROTATE	34	none
F	26	f32[2]	8	dir		docs/02	
P	3188	CZ_CHAT	0	none
F	22	u16	2	size		docs/03	NOT at +0x0A -- see docs/07
F	24	str[0]	0	text	text	docs/03	
P	3206	ZC_ITEM_INVENTORY_LIST	0	variable
F	12	u32	4	f_0C			no samples
P	3207	ZC_ITEM_INVENTORY_DIVISION_LIST	0	variable
F	12	u32	4	f_0C			31 samples
F	16	u8	1	flag	bool	bytes	31 samples
F	17	u8	1	flag	bool	bytes	31 samples
P	3208	ZC_ITEM_INVENTORY_INDEX_LIST	0	variable
F	12	u32	4	f_0C			no samples
F	16	u32	4	f_10			no samples
P	3210	ZC_ITEM_ADD	0	variable
F	12	u64	8	f_0C			26 samples
F	20	u64	8	const	hex	bytes	26 samples
F	28	u32	4	f_1C			26 samples
F	32	u32	4	f_20			26 samples
F	36	u16	2	const		bytes	26 samples
F	38	u8	1	const		bytes	26 samples
F	39	u32	4	zero		bytes	26 samples
F	43	u8	1	zero		bytes	26 samples
F	44	u8	1	zero		bytes	26 samples
F	45	u8	1	zero		bytes	26 samples
F	46	u32	4	const	hex	bytes	26 samples
P	3211	ZC_ITEM_REMOVE	28	exact
F	10	u64	8	f_0A			no samples
F	18	u64	8	f_12			no samples
F	26	u8	1	f_1A			no samples
F	27	u8	1	f_1B			no samples
P	3212	ZC_ITEM_USE	18	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	no samples
F	14	u32	4	f_0E			no samples
P	3215	ZC_SKILL_LIST	0	variable
F	16	u16	2	f_10			3 samples
F	18	u8	1	zero		bytes	3 samples
P	3222	ZC_EXP_UP_BY_MONSTER	38	exact
F	10	bytes[24]	24	f_0A			no samples
F	34	u32	4	handle	hex	ida:sub_140AC71B0	no samples
P	3223	ZC_PC_LEVELUP	18	exact
F	10	u32	4	handle	hex	census	2 samples
F	14	u32	4	f_0E			2 samples
P	3225	ZC_MAX_EXP_CHANGED	38	exact
F	10	u32	4	f_0A			no samples
F	14	u64	8	f_0E			no samples
F	22	u64	8	f_16			no samples
F	30	u64	8	f_1E			no samples
P	3226	ZC_TEXT	0	variable
F	12	u8	1	f_0C			no samples
F	14	u32	4	f_0E			no samples
P	3227	ZC_UPDATE_SP	19	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	35 samples
F	14	u32	4	f_0E			35 samples
F	18	u8	1	zero		bytes	35 samples
P	3229	ZC_UPDATE_MHP	18	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	2 samples
F	14	u32	4	f_0E			2 samples
P	3240	ZC_DIALOG_NUMBERRANGE	0	variable
F	16	bytes[16]	16	f_10			no samples
F	32	bytes[16]	16	f_20			no samples
F	48	bytes[16]	16	f_30			no samples
F	64	bytes[16]	16	f_40			no samples
F	80	bytes[16]	16	f_50			no samples
F	96	bytes[16]	16	f_60			no samples
F	112	bytes[16]	16	f_70			no samples
F	128	bytes[16]	16	f_80			no samples
F	144	u32	4	f_90			no samples
F	148	u32	4	f_94			no samples
P	3242	ZC_ADDON_MSG	0	variable
F	10	u16	2	f_0A			36 samples
F	12	u8	1	f_0C			36 samples
F	18	str[4]	4	text	text	bytes	36 samples
P	3243	ZC_ADDON_EVENT_MSG	0	variable
F	12	u8	1	f_0C			no samples
F	13	u8	1	f_0D			no samples
F	14	u8	1	f_0E			no samples
F	15	u32	4	f_0F			no samples
F	19	u32	4	f_13			no samples
P	3245	ZC_PLAY_SOUND	24	partial
F	10	u32	4	handle	hex	ida:sub_140AC71B0	no samples
F	14	u32	4	f_0E			no samples
F	18	u8	1	f_12			no samples
F	23	u8	1	f_17			no samples
P	3246	ZC_STOP_SOUND	18	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	no samples
F	14	u32	4	f_0E			no samples
P	3247	ZC_PLAY_MUSICQUEUE	21	partial
F	14	u32	4	f_0E			no samples
F	18	u8	1	mode		ida:cmp	no samples
F	19	u8	1	f_13			no samples
F	20	u8	1	mode		ida:cmp	no samples
P	3248	ZC_STOP_MUSICQUEUE	18	partial
F	14	u32	4	f_0E			no samples
P	3249	ZC_PLAY_ANI	30	partial
F	10	u32	4	handle	hex	ida:sub_140AC71B0	4806 samples
F	14	u32	4	f_0E			4806 samples
